magic=50534152 pos=258 size=512 rec_size=64
  221 dt=263      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b778:4 | st=0
  222 dt=184      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f00fec0:48  | st=0
  223 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b77c:13  | st=0
  224 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b988:32 | st=0
  225 dt=234      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b778:4 | st=0
  226 dt=264      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b778:4 | st=0
  227 dt=181      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f00fec0:48  | st=0
  228 dt=144      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b77c:12  | st=0
  229 dt=141      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b9b8:12 | st=0
  230 dt=234      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b778:4 | st=0
  231 dt=302      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b8dc:28 i@2f01b968:32 o@2f0107ec:4 | st=0
  232 dt=155      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b8dc:28 i@2f01b988:32 o@2f0107f0:4 | st=0
  233 dt=372      HASH_CLONE           key=00000000 alg=00000000 op=2 i@2f01b95c:4 o@2f01b95c:4 | st=0
  234 dt=169      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b95c:4 o@2f01b988:48 | st=0
  235 dt=263      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b790:4 | st=0
  236 dt=162      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01017c:48  | st=0
  237 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b794:18  | st=0
  238 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b928:48 | st=0
  239 dt=266      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b790:4 | st=0
  240 dt=295      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b90c:28 i@2f01b928:48 o@2f01b908:4 | st=0
  241 dt=157      MAC_COMPUTE          key=40000004 alg=0380000a op=0 i@2f01b988:48 o@2f010079:48 | st=0
  242 dt=274      DESTROY_KEY          key=40000004 alg=00000000 op=0   | st=0
  243 dt=133      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b9bc:4  | st=0
  244 dt=132      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00f485:48  | st=0
  245 dt=191      AEAD_ENCRYPT         key=40000000 alg=05500200 op=0 i@2f00f481:64 i@2f01b970:5 o@2f00f481:2336 | st=0
  246 dt=404      HASH_CLONE           key=00000000 alg=00000000 op=2 i@2f01b984:4 o@2f01b984:4 | st=0
  247 dt=160      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b984:4 o@2f01b9b0:48 | st=0
  248 dt=265      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b7e0:4 | st=0
  249 dt=162      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  250 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b7e4:68  | st=0
  251 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f00ff20:48 | st=0
  252 dt=235      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b7e0:4 | st=0
  253 dt=388      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b7f4:28 i@2f0108f0:65 o@2f01b7f0:4 | st=0
  254 dt=175      DESTROY_KEY          key=40000004 alg=00000000 op=0   | st=0
  255 dt=15530    DESTROY_KEY          key=00000000 alg=00000000 op=0   | st=0
  256 dt=79699    AEAD_DECRYPT         key=40000003 alg=05500200 op=0 i@2f00eb31:250 i@2f01b9c8:5 o@2f00eb31:250 | st=0
